"seconds","total_iops","avg_iops","avg_lat"
"5.00008","1215","242.996","3.55471"
"5.00009","2039","164.797","5.51211"
"5.00009","3069","205.996","4.30303"
"5.00008","4319","249.996","3.44508"
"5.00008","5633","262.796","3.25643"
"5.00008","6987","270.796","3.14512"
"5.00008","8328","268.196","3.17238"
"5.00008","9640","262.396","3.26367"
"5.00008","10970","265.996","3.20934"
"5.00008","12315","268.996","3.16999"
"5.00008","13627","262.396","3.26183"
"5.00008","14952","264.996","3.22753"
"5.00009","16294","268.395","3.17875"
"5.00007","17612","263.596","3.24621"
"5.00008","18929","263.396","3.24953"
"5.00007","20229","259.996","3.2874"
"5.00008","21553","264.796","3.22341"
"5.00008","22855","260.396","3.29068"
"5.00008","24162","261.396","3.27316"
"5.00008","25483","264.196","3.23651"
"5.00008","26778","258.996","3.3094"
"5.00008","28096","263.596","3.2456"
"5.00008","29405","261.796","3.27105"
