"width","seconds","total_iops","avg_iops","avg_lat"
"64","5.00008","1987","397.393","2.39226"
"64","5.00008","3963","395.194","2.40864"
"64","5.00008","5935","394.394","2.41801"
"64","5.00008","7869","386.794","2.4603"
"64","5.00008","9782","382.594","2.49424"
"64","5.00008","11684","380.394","2.50581"
"64","5.00013","13607","384.59","2.48447"
"64","5.00008","15559","390.394","2.43834"
"64","5.00008","17463","380.794","2.51115"
"64","5.00008","19430","393.394","2.42318"
"64","5.00009","21381","390.193","2.44054"
"64","5.00008","23380","399.793","2.37779"
"64","5.00008","25471","418.194","2.27335"
"64","5.00008","27588","423.393","2.24335"
"64","5.00008","29650","412.394","2.3035"
"64","5.00008","31741","418.194","2.27028"
"64","5.00008","33929","437.593","2.16004"
"64","5.00008","36059","425.994","2.22701"
"64","5.00008","38214","430.993","2.19781"
"64","5.00008","40364","429.993","2.2078"
"64","5.00008","42552","437.593","2.16478"
"64","5.00008","44652","419.993","2.26279"
"64","5.00008","46759","421.393","2.24567"
