"seconds","total_iops","avg_iops","avg_lat"
"5.00008","1096","219.196","4.54111"
"5.00008","2247","230.196","4.33111"
"5.00008","3478","246.196","4.04197"
"5.00008","4712","246.796","4.03716"
"5.00008","5932","243.996","4.07946"
"5.00008","7061","225.796","4.41119"
"5.00008","8271","241.996","4.11519"
"5.00008","9461","237.996","4.18574"
"5.00008","10571","221.996","4.48582"
"5.00008","11752","236.196","4.21685"
"5.00008","12941","237.796","4.18801"
"5.00008","14154","242.596","4.10442"
"5.00008","15294","227.996","4.36709"
"5.00008","16468","234.796","4.24379"
"5.00008","17658","237.996","4.18495"
"5.00008","18873","242.996","4.09271"
"5.00008","20046","234.596","4.24563"
"5.00008","21176","225.997","4.40451"
"5.00008","22351","234.996","4.23855"
"5.00008","23582","246.196","4.04543"
"5.00008","24752","233.996","4.25216"
"5.00008","25927","234.996","4.23582"
"5.00008","27099","234.396","4.24774"
