"width","seconds","total_iops","avg_iops","avg_lat"
"1","5.00009","1856","371.193","2.5507"
"1","5.00008","3761","380.994","2.48603"
"1","5.00008","5701","387.994","2.43799"
"1","5.0001","7608","381.393","2.48475"
"1","5.00008","9518","381.994","2.47492"
"1","5.00011","11492","394.791","2.39764"
"1","5.00008","13411","383.794","2.47042"
"1","5.0001","15235","364.793","2.60175"
"1","5.00009","17184","389.793","2.41886"
"1","5.00009","19158","394.793","2.40401"
"1","5.00008","21162","400.794","2.358"
"1","5.00008","23101","387.794","2.43686"
"1","5.00009","25081","395.993","2.3878"
"1","5.00008","27125","408.793","2.30628"
"1","5.00008","29174","409.793","2.29723"
"1","5.00008","31271","419.394","2.24554"
"1","5.00008","33350","415.793","2.2645"
"1","5.00009","35444","418.793","2.25218"
"1","5.00009","37491","409.392","2.30408"
"1","5.00008","39552","412.193","2.28955"
"1","5.00008","41638","417.194","2.2579"
"1","5.00008","43666","405.594","2.31947"
"1","5.0001","45723","411.392","2.29238"
"2","5.00008","4004","800.787","2.34451"
"2","5.00008","7965","792.188","2.37908"
"2","5.00012","11922","791.381","2.37798"
"2","5.00009","16054","826.386","2.27043"
"2","5.00009","20147","818.586","2.29351"
"2","5.00009","24257","821.986","2.28286"
"2","5.00008","29194","987.384","1.8758"
"2","5.00008","34521","1065.38","1.72761"
"2","5.00008","39823","1060.38","1.73507"
"2","5.00009","45148","1064.98","1.72803"
"2","5.00008","50505","1071.38","1.71616"
"2","5.00009","55780","1054.98","1.74328"
"2","5.00008","61102","1064.38","1.72854"
"2","5.00008","66414","1062.38","1.73289"
"2","5.00008","71744","1065.98","1.72582"
"2","5.00008","77105","1072.18","1.71521"
"2","5.00008","82419","1062.78","1.73082"
"2","5.00008","87728","1061.78","1.73359"
"2","5.00008","93057","1065.78","1.7255"
"2","5.00008","98409","1070.38","1.71787"
"2","5.00008","103737","1065.58","1.72669"
"2","5.00008","109069","1066.38","1.72519"
"2","5.00008","114391","1064.38","1.72799"
"3","5.00008","7451","1490.18","1.85482"
"3","5.00013","15082","1526.16","1.80719"
"3","5.00008","22679","1519.38","1.80851"
"3","5.00009","30215","1507.17","1.8311"
"3","5.00008","37893","1535.58","1.79492"
"3","5.00009","45598","1540.97","1.78849"
"3","5.00009","53336","1547.57","1.77992"
"3","5.00008","61005","1533.78","1.79526"
"3","5.00009","68688","1536.57","1.79362"
"3","5.00008","76412","1544.78","1.78221"
"3","5.00008","84106","1538.77","1.78996"
"3","5.00008","91676","1513.98","1.81829"
"3","5.00008","99341","1532.98","1.80009"
"3","5.00008","107046","1540.98","1.78774"
"3","5.00008","114730","1536.78","1.79423"
"3","5.00008","122457","1545.38","1.78211"
"3","5.00009","130154","1539.37","1.79009"
"3","5.00008","137637","1496.38","1.84277"
"3","5.00008","144825","1437.58","1.92836"
"3","5.00008","152492","1533.38","1.79816"
"3","5.00008","160244","1550.38","1.7765"
"3","5.00008","167925","1536.18","1.79482"
"3","5.00008","175623","1539.57","1.79001"
"4","5.00009","9685","1936.97","1.88301"
"4","5.00013","19668","1996.55","1.83437"
"4","5.00008","29734","2013.17","1.81572"
"4","5.00009","39641","1981.36","1.83541"
"4","5.00009","49661","2003.97","1.82702"
"4","5.00008","59702","2008.17","1.82178"
"4","5.00009","69763","2011.97","1.81847"
"4","5.00008","79771","2001.57","1.8293"
"4","5.00008","89805","2006.77","1.82378"
"4","5.00008","99828","2004.57","1.82571"
"4","5.00008","109759","1986.17","1.83843"
"4","5.00008","119805","2009.17","1.82136"
"4","5.00008","129907","2020.37","1.8107"
"4","5.00008","139934","2005.37","1.82612"
"4","5.00008","149871","1987.37","1.83019"
"4","5.00009","159795","1984.56","1.82407"
"4","5.00008","169894","2019.77","1.81208"
"4","5.00008","179967","2014.57","1.81422"
"4","5.00009","190006","2007.77","1.82289"
"4","5.00009","200064","2011.56","1.81975"
"4","5.00009","210131","2013.36","1.81798"
"4","5.00008","220192","2012.17","1.81913"
"4","5.00008","230112","1983.97","1.83924"
