"seconds","total_iops","avg_iops","avg_lat"
"5.00008","1367","273.395","3.63241"
"5.00007","2756","277.796","3.58374"
"5.00007","4109","270.596","3.66753"
"5.00008","5449","267.996","3.72225"
"5.00008","6786","267.396","3.72033"
"5.00008","8140","270.796","3.67258"
"5.00008","9458","263.596","3.76803"
"5.00008","10780","264.396","3.77286"
"5.00011","12124","268.794","3.70147"
"5.00009","13506","276.395","3.59778"
"5.00008","14810","260.796","3.8164"
"5.00008","16100","257.996","3.85647"
"5.00008","17383","256.596","3.8781"
"5.00008","18752","273.796","3.63542"
"5.00008","20058","261.196","3.80909"
"5.00008","21330","254.396","3.91197"
"5.00008","22633","260.596","3.82013"
"5.00008","23976","268.596","3.70266"
"5.00008","25288","262.396","3.7904"
"5.00007","26562","254.796","3.90834"
"5.00007","27887","264.996","3.75326"
"5.00008","29231","268.796","3.7016"
"5.00008","30537","261.196","3.81169"
