2s:  ts: 1461891505 rate=21120 iops
4s:  ts: 1461891507 rate=12742 iops
6s:  ts: 1461891509 rate=20842 iops
8s:  ts: 1461891511 rate=18579 iops
10s:  ts: 1461891513 rate=12618 iops
12s:  ts: 1461891515 rate=8982 iops
14s:  ts: 1461891517 rate=13766 iops
16s:  ts: 1461891519 rate=18007 iops
18s:  ts: 1461891521 rate=16611 iops
20s:  ts: 1461891523 rate=7250 iops
22s:  ts: 1461891525 rate=11706 iops
24s:  ts: 1461891527 rate=17615 iops
26s:  ts: 1461891529 rate=16570 iops
28s:  ts: 1461891531 rate=10276 iops
30s:  ts: 1461891533 rate=9237 iops
32s:  ts: 1461891535 rate=19974 iops
34s:  ts: 1461891537 rate=18974 iops
36s:  ts: 1461891539 rate=11211 iops
38s:  ts: 1461891541 rate=10440 iops
40s:  ts: 1461891543 rate=14514 iops
42s:  ts: 1461891545 rate=19435 iops
44s:  ts: 1461891547 rate=6534 iops
46s:  ts: 1461891549 rate=2754 iops
48s:  ts: 1461891551 rate=2651 iops
50s:  ts: 1461891553 rate=1520 iops
52s:  ts: 1461891555 rate=978 iops
54s:  ts: 1461891557 rate=1117 iops
56s:  ts: 1461891559 rate=1149 iops
58s:  ts: 1461891561 rate=669 iops
60s:  ts: 1461891563 rate=1056 iops
62s:  ts: 1461891565 rate=596 iops
64s:  ts: 1461891567 rate=1456 iops
66s:  ts: 1461891569 rate=1301 iops
68s:  ts: 1461891571 rate=1278 iops
70s:  ts: 1461891573 rate=1496 iops
72s:  ts: 1461891575 rate=3995 iops
74s:  ts: 1461891577 rate=10231 iops
76s:  ts: 1461891579 rate=11095 iops
78s:  ts: 1461891581 rate=15714 iops
80s:  ts: 1461891583 rate=16469 iops
82s:  ts: 1461891585 rate=16688 iops
84s:  ts: 1461891587 rate=14823 iops
86s:  ts: 1461891589 rate=13394 iops
88s:  ts: 1461891591 rate=12637 iops
90s:  ts: 1461891593 rate=12108 iops
92s:  ts: 1461891595 rate=14239 iops
94s:  ts: 1461891597 rate=15970 iops
96s:  ts: 1461891599 rate=17719 iops
98s:  ts: 1461891601 rate=13649 iops
100s:  ts: 1461891603 rate=12614 iops
102s:  ts: 1461891605 rate=13204 iops
104s:  ts: 1461891607 rate=12509 iops
106s:  ts: 1461891609 rate=11590 iops
108s:  ts: 1461891611 rate=13010 iops
110s:  ts: 1461891613 rate=16848 iops
112s:  ts: 1461891615 rate=14982 iops
114s:  ts: 1461891617 rate=11214 iops
116s:  ts: 1461891619 rate=5886 iops
118s:  ts: 1461891621 rate=4499 iops
120s:  ts: 1461891623 rate=2818 iops
122s:  ts: 1461891625 rate=735 iops
124s:  ts: 1461891627 rate=2739 iops
126s:  ts: 1461891629 rate=2617 iops
128s:  ts: 1461891631 rate=800 iops
130s:  ts: 1461891633 rate=856 iops
132s:  ts: 1461891635 rate=1125 iops
134s:  ts: 1461891637 rate=1282 iops
136s:  ts: 1461891639 rate=830 iops
138s:  ts: 1461891641 rate=1114 iops
140s:  ts: 1461891643 rate=1629 iops
142s:  ts: 1461891645 rate=761 iops
144s:  ts: 1461891647 rate=1019 iops
146s:  ts: 1461891649 rate=1634 iops
148s:  ts: 1461891651 rate=1377 iops
150s:  ts: 1461891653 rate=1280 iops
152s:  ts: 1461891655 rate=614 iops
154s:  ts: 1461891657 rate=400 iops
156s:  ts: 1461891659 rate=3392 iops
158s:  ts: 1461891661 rate=2498 iops
160s:  ts: 1461891663 rate=2586 iops
162s:  ts: 1461891665 rate=3044 iops
164s:  ts: 1461891667 rate=3015 iops
166s:  ts: 1461891669 rate=9205 iops
168s:  ts: 1461891671 rate=9635 iops
170s:  ts: 1461891673 rate=15212 iops
172s:  ts: 1461891675 rate=16646 iops
174s:  ts: 1461891677 rate=10771 iops
176s:  ts: 1461891679 rate=9572 iops
178s:  ts: 1461891681 rate=12006 iops
180s:  ts: 1461891683 rate=15792 iops
182s:  ts: 1461891685 rate=9581 iops
184s:  ts: 1461891687 rate=10550 iops
186s:  ts: 1461891689 rate=13040 iops
188s:  ts: 1461891691 rate=15719 iops
190s:  ts: 1461891693 rate=8637 iops
192s:  ts: 1461891695 rate=10909 iops
194s:  ts: 1461891697 rate=14845 iops
196s:  ts: 1461891699 rate=16306 iops
198s:  ts: 1461891701 rate=10617 iops
200s:  ts: 1461891703 rate=9132 iops
202s:  ts: 1461891705 rate=14621 iops
204s:  ts: 1461891707 rate=15887 iops
206s:  ts: 1461891709 rate=14414 iops
208s:  ts: 1461891711 rate=9540 iops
210s:  ts: 1461891713 rate=10460 iops
212s:  ts: 1461891715 rate=13743 iops
214s:  ts: 1461891717 rate=15723 iops
216s:  ts: 1461891719 rate=10042 iops
218s:  ts: 1461891721 rate=9689 iops
220s:  ts: 1461891723 rate=13070 iops
222s:  ts: 1461891725 rate=16007 iops
224s:  ts: 1461891727 rate=10163 iops
226s:  ts: 1461891729 rate=8448 iops
228s:  ts: 1461891731 rate=13634 iops
230s:  ts: 1461891733 rate=15170 iops
232s:  ts: 1461891735 rate=9443 iops
234s:  ts: 1461891737 rate=10575 iops
236s:  ts: 1461891739 rate=13215 iops
