2s:  ts: 1461903035 rate=5196 iops
4s:  ts: 1461903037 rate=4869 iops
6s:  ts: 1461903039 rate=4926 iops
8s:  ts: 1461903041 rate=4969 iops
10s:  ts: 1461903043 rate=4935 iops
12s:  ts: 1461903045 rate=4337 iops
14s:  ts: 1461903047 rate=4781 iops
16s:  ts: 1461903049 rate=5085 iops
18s:  ts: 1461903051 rate=4633 iops
20s:  ts: 1461903053 rate=4819 iops
22s:  ts: 1461903055 rate=4636 iops
24s:  ts: 1461903057 rate=4872 iops
26s:  ts: 1461903059 rate=4903 iops
28s:  ts: 1461903061 rate=4769 iops
30s:  ts: 1461903063 rate=4283 iops
32s:  ts: 1461903065 rate=5003 iops
34s:  ts: 1461903067 rate=4532 iops
36s:  ts: 1461903069 rate=4682 iops
38s:  ts: 1461903071 rate=4717 iops
40s:  ts: 1461903073 rate=4502 iops
42s:  ts: 1461903075 rate=4111 iops
44s:  ts: 1461903077 rate=4615 iops
46s:  ts: 1461903079 rate=4545 iops
48s:  ts: 1461903081 rate=4686 iops
50s:  ts: 1461903083 rate=4408 iops
52s:  ts: 1461903085 rate=4555 iops
54s:  ts: 1461903087 rate=4493 iops
56s:  ts: 1461903089 rate=4606 iops
58s:  ts: 1461903091 rate=4277 iops
60s:  ts: 1461903093 rate=4558 iops
62s:  ts: 1461903095 rate=4650 iops
64s:  ts: 1461903097 rate=4333 iops
66s:  ts: 1461903099 rate=4419 iops
68s:  ts: 1461903101 rate=4430 iops
70s:  ts: 1461903103 rate=4300 iops
72s:  ts: 1461903105 rate=4111 iops
74s:  ts: 1461903107 rate=4626 iops
76s:  ts: 1461903109 rate=4375 iops
78s:  ts: 1461903111 rate=4466 iops
80s:  ts: 1461903113 rate=4588 iops
82s:  ts: 1461903115 rate=4521 iops
84s:  ts: 1461903117 rate=4324 iops
86s:  ts: 1461903119 rate=4324 iops
88s:  ts: 1461903121 rate=4524 iops
90s:  ts: 1461903123 rate=4320 iops
92s:  ts: 1461903125 rate=4469 iops
94s:  ts: 1461903127 rate=4393 iops
96s:  ts: 1461903129 rate=4310 iops
98s:  ts: 1461903131 rate=4288 iops
100s:  ts: 1461903133 rate=4284 iops
102s:  ts: 1461903135 rate=3957 iops
104s:  ts: 1461903137 rate=4256 iops
106s:  ts: 1461903139 rate=4210 iops
108s:  ts: 1461903141 rate=4489 iops
110s:  ts: 1461903143 rate=4303 iops
112s:  ts: 1461903145 rate=4375 iops
114s:  ts: 1461903147 rate=4325 iops
116s:  ts: 1461903149 rate=4249 iops
118s:  ts: 1461903151 rate=4391 iops
120s:  ts: 1461903153 rate=4488 iops
122s:  ts: 1461903155 rate=4411 iops
124s:  ts: 1461903157 rate=4612 iops
126s:  ts: 1461903159 rate=4061 iops
128s:  ts: 1461903161 rate=4541 iops
130s:  ts: 1461903163 rate=4446 iops
132s:  ts: 1461903165 rate=4192 iops
134s:  ts: 1461903167 rate=4089 iops
136s:  ts: 1461903169 rate=4563 iops
138s:  ts: 1461903171 rate=4267 iops
140s:  ts: 1461903173 rate=3796 iops
142s:  ts: 1461903175 rate=3160 iops
144s:  ts: 1461903177 rate=2576 iops
